category	-log10(pvalue)	zscore	ratio	molecules	direction
Lymphotoxin β Receptor Signaling	1.13	-0.229	0.606	AKT1, AKT2, AKT3, APAF1, CASP3, IKBKB, IKBKG, LTB, MAPK3, NFKB1, NFKBIA, PDPK1, PIK3CB, PIK3R1, PIK3R3, RELA, TRAF2, TRAF3, TRAF6, VCAM1		negative
Oxytocin Signaling Pathway	1.13	-0.107	0.524	ABCC9, AKT1, AKT2, AKT3, ARRB1, ATF4, ATP2B1, ATP2B3, ATP2B4, CACNA1C, CACNA1S, CACNB1, CACNB4, CACNG1, CACNG6, Calm1 (includes others), CCL5, CHP1, CREB3L2, EEF2, EGFR, GNA13, GNAI2, GNAL, GNB1, GNB2, GNG2, HRAS, HSPB3, HSPB7, IL6, ITPR2, KRAS, LIPE, LPL, MAPK12, MAPK14, MAPK3, MAPK7, MAPK8, MEF2C, MFN2, MPRIP, MRAS, MYH1, MYH2, MYH3, MYH4, MYH8, MYH9, MYL1, MYL4, MYL9, MYLK, NFATC1, NFKB1, NPR3, NRAS, PIK3CB, PIK3R1, PIK3R3, PLA2G3, PLA2G4A, PLA2G4E, PNPLA2, PPARA, PPARD, PPARG, PPP3CA, PPP3CB, PPP3R1, PRKAA1, PRKAB1, PRKAB2, PRKACA, PRKAG3, PRKAR1A, PRKAR2B, PRKCE, PRKCI, PRKCQ, PRKG1, PTGS2, RALA, RELA, RHOA, ROCK1, RRAS		negative
Acute Myeloid Leukemia Signaling	1.13	0.2	0.569	AKT1, AKT2, AKT3, CCND1, CEBPA, CSF2RB, EIF4EBP1, HRAS, IDH1, IDH2, IDH3B, KITLG, KRAS, MAP2K1, MAP2K3, MAP2K6, MAP2K7, MAPK3, MRAS, MTOR, NFKB1, NRAS, PIK3CB, PIK3R1, PIK3R3, PIM1, RALA, RARA, RELA, RRAS, RUNX1, SPI1, STAT3		positive
SAPK/JNK Signaling	1.12	-0.707	0.565	CD3G, CRK, DUSP10, DUSP8, FADD, GADD45A, GNA13, GNB1, GNB2, GNG2, HNRNPK, HRAS, IRS1, JUN, KRAS, MAP2K7, MAP3K1, MAP3K10, MAP3K2, MAP3K20, MAP3K5, MAP4K3, MAPK12, MAPK8, MAPK8IP1, MRAS, NFATC1, NRAS, PIK3CB, PIK3R1, PIK3R3, RALA, RRAS, TP53, TRAF2		negative
RAC Signaling	1.11	-0.354	0.557	ANK1, ARPC1B, ARPC3, ARPC4, BAIAP2, BRK1, CD44, CFL2, CYFIP2, HRAS, ITGA10, ITGA11, ITGA3, ITGA6, ITGA7, ITGAV, ITGB1, JUN, KRAS, MAP2K1, MAP2K7, MAP3K1, MAPK3, MAPK8, MCF2L, MRAS, NFKB1, NRAS, PAK4, PIK3CB, PIK3R1, PIK3R3, PIKFYVE, PRKCI, PTK2, RALA, RELA, RHOA, RRAS		negative
MSP-RON Signaling In Cancer Cells Pathway	1.1	0.309	0.551	ACTA2, AKT1, AKT2, AKT3, ATF4, CCND1, CREB3L2, CSF2RB, CTNNB1, EGFR, ELF1, ETS1, ETS2, FLNA, HGFAC, HRAS, ITGA6, ITGB1, JUN, KRAS, MAP2K1, MAPK3, MET, MRAS, MTOR, NFKB1, NFKBIA, NRAS, PDGFC, PIK3CB, PIK3R1, PIK3R3, PTK2, RALA, RELA, RPS6KA2, RRAS, STAT3, TRIM24, VEGFD, YWHAB, YWHAG, YWHAZ		positive
14-3-3-mediated Signaling	1.1	0.707	0.554	AKT1, AKT1S1, AKT2, AKT3, BAX, FOXO1, HRAS, JUN, KRAS, MAP2K1, MAP3K5, MAPK12, MAPK3, MAPK8, MAPT, MRAS, NRAS, PDIA3, PIK3CB, PIK3R1, PIK3R3, PLCD4, PRKCE, PRKCI, PRKCQ, RALA, RRAS, SRPK2, STRADA, TRAF2, TSC1, TSC2, TUBA1A, TUBB, TUBB2B, TUBB6, TUBG1, YAP1, YWHAB, YWHAG, YWHAZ		positive
Docosahexaenoic Acid (DHA) Signaling	1.09	0	0.636	AKT1, AKT2, AKT3, APAF1, APP, BAX, CASP3, FOXO1, PDPK1, PIK3CB, PIK3R1, PIK3R3, PNPLA2, SERPINF1		no direction
CXCR4 Signaling	1.09	-0.59	0.544	ADCY5, ADCY8, AKT1, AKT2, AKT3, BCAR1, CRK, EGR1, FNBP1, GNA13, GNAI2, GNAL, GNB1, GNB2, GNG2, HRAS, ITPR2, JUN, KRAS, MAP2K1, MAPK12, MAPK3, MAPK8, MRAS, MYL1, MYL4, MYL9, MYLPF, NRAS, PAK4, PIK3CB, PIK3R1, PIK3R3, PRKCE, PRKCI, PRKCQ, PTK2, RALA, RHOA, RHOB, RHOC, RHOJ, RHOQ, RHOT1, RHOT2, RHOU, RND1, ROCK1, RRAS		negative
Natural Killer Cell Signaling	1.09	0.289	0.545	AKT1, AKT2, AKT3, B2M, CFL2, COL1A2, COL3A1, COL5A3, HLA-A, HRAS, HSPA2, IL12RB2, IL15, ITGB1, KRAS, MAP2K1, MAP2K3, MAP3K1, MAP3K10, MAP3K2, MAP3K5, MAPK12, MAPK14, MAPK3, MICB, MRAS, MTOR, MYD88, NECTIN2, NFAT5, NFATC1, NFATC2, NFKB1, NRAS, PAK4, PIK3CB, PIK3R1, PIK3R3, PRKCQ, PTPN11, RALA, RASSF5, RELA, ROCK1, RRAS, TRAF6, Wasl, WIPF1		positive
PI3K Signaling in B Lymphocytes	1.09	0.302	0.547	AKT1, AKT2, AKT3, ATF3, ATF4, ATF5, ATF6, BCL10, C3, Calm1 (includes others), CAMK2D, CAMK2G, CARD10, CD81, CHP1, HRAS, IKBKB, IKBKG, IL4R, IRS1, IRS2, ITPR2, JUN, KRAS, MAP2K1, MAPK3, MRAS, NFAT5, NFATC1, NFATC2, NFKB1, NFKBIA, NFKBIB, NRAS, PDIA3, PDPK1, PIK3CB, PIK3R1, PLCD4, PPP3CA, PPP3CB, PPP3R1, PRKCI, RALA, RELA, RRAS, TLR4		positive
Netrin Signaling	1.07	-0.816	0.581	ABLIM1, ABLIM2, CACNA1C, CACNA1H, CACNA1S, CACNB1, CACNB4, CACNG1, CACNG6, CHP1, ENAH, ITPR2, NCK2, NFAT5, NFATC1, NFATC2, PPP3CA, PPP3CB, PPP3R1, PRKACA, PRKAR1A, PRKAR2B, PRKG1, RYR1, RYR3		negative
IL-17A Signaling in Fibroblasts	1.06	0	0.625	IKBKB, IKBKG, IL17RA, IL17RC, IL6, JUN, MAPK12, MAPK14, MAPK3, NFKB1, NFKBIA, NFKBIB, RELA, TRAF3IP2, TRAF6		no direction
Superpathway of D-myo-inositol (1,4,5)-trisphosphate Metabolism	1.06	-0.333	0.692	BPNT1, BPNT2, IMPA1, INPP1, INPP5A, INPP5E, INPP5K, INPPL1, IPMK		negative
IL-3 Signaling	1.05	0	0.571	AKT1, AKT2, AKT3, CHP1, CSF2RB, FOXO1, GAB2, HRAS, JUN, KRAS, MAP2K1, MAPK3, MRAS, NRAS, PIK3CB, PIK3R1, PIK3R3, PPP3CA, PPP3CB, PPP3R1, PRKCE, PRKCI, PRKCQ, RALA, RAPGEF1, RRAS, STAT3, STAT6		no direction
Colorectal Cancer Metastasis Signaling	1.04	-1.313	0.526	ADCY5, ADCY8, AKT1, AKT2, AKT3, ARRB1, BAX, CASP3, CCND1, CTNNB1, EGFR, FNBP1, FZD7, GNA13, GNAI2, GNAL, GNB1, GNB2, GNG2, HRAS, IL6, IL6R, IL6ST, JUN, KRAS, LRP1, MAP2K1, MAPK12, MAPK3, MAPK8, MMP14, MRAS, MSH6, NFKB1, NRAS, PDGFC, PIK3CB, PIK3R1, PIK3R3, PRKACA, PRKAR1A, PRKAR2B, PTGER3, PTGER4, PTGS2, RALA, RELA, RHOA, RHOB, RHOC, RHOJ, RHOQ, RHOT1, RHOT2, RHOU, RND1, RRAS, SMAD3, SMAD4, STAT3, TGFB1, TGFB2, TGFB3, TGFBR2, TLR1, TLR4, TLR5, TLR6, TP53, VEGFD, WNT9A		negative
TR/RXR Activation	1.04	0	0.569	AKT1, AKT2, AKT3, ATP2A1, COL6A3, DIO2, GPS2, HP, KLF9, LDLR, MED1, MTOR, NCOA1, PIK3CB, PIK3R1, PIK3R3, PPARGC1A, RXRG, SLC16A2, SLC16A3, SLC2A1, SREBF1, STRBP, SYT12, TBL1XR1, THRA, THRB, UCP2, UCP3		no direction
RANK Signaling in Osteoclasts	1.03	-1.095	0.559	AKT1, AKT2, AKT3, Calm1 (includes others), CHP1, IKBKB, IKBKG, JUN, MAP2K1, MAP2K6, MAP2K7, MAP3K1, MAP3K10, MAP3K2, MAP3K5, MAPK12, MAPK14, MAPK3, MAPK8, NFATC1, NFATC2, NFKB1, NFKBIA, NFKBIB, PIK3CB, PIK3R1, PIK3R3, PPP3CA, PPP3CB, PPP3R1, RELA, TRAF2, TRAF6		negative
CDP-diacylglycerol Biosynthesis I	1.02	2.53	0.667	ABHD5, AGPAT2, AGPAT3, AGPAT4, CDS2, CRLS1, GPAT3, LPGAT1, MBOAT1, MBOAT7		positive
NAD Signaling Pathway	1.01	0.617	0.542	ACADM, AKT1, AKT2, AKT3, ARNTL, DXO, FGF2, H1-0, H1-2, IDH2, LDHA, NADSYN1, NAMPT, NFKB1, NMRK2, NUDT12, PARP4, PARP9, PDGFB, PIK3CB, PIK3R1, PIK3R3, POLR2E, POLR2I, POLR2J, PPARGC1A, PRKAA1, PRKAB1, PRKAB2, PRKAG3, RYR1, RYR3, SIRT2, SIRT5, SIRT6, SLC29A1, SLC29A3, SLC7A5, SREBF1, TGFA, TGFB1, TGFB2, TIPARP, TNKS, TP53		positive
TEC Kinase Signaling	1.01	0	0.539	ACTA1, ACTA2, ACTB, ACTC1, CD3G, FADD, FAS, FNBP1, GNA13, GNAI2, GNAL, GNB1, GNB2, GNG2, GTF2I, ITGA10, ITGA11, ITGA3, ITGA6, ITGA7, ITGAV, ITGB1, MAPK12, MAPK8, MRAS, NFKB1, PAK4, PIK3CB, PIK3R1, PIK3R3, PRKCE, PRKCI, PRKCQ, PTK2, RELA, RHOA, RHOB, RHOC, RHOJ, RHOQ, RHOT1, RHOT2, RHOU, RND1, STAT3, STAT6, TLR4, TNFSF12		no direction
Systemic Lupus Erythematosus Signaling	1.01	0	0.538	AKT1, AKT2, AKT3, BDKRB2, CD2BP2, CD3G, CD72, CD80, CREM, EFTUD2, HLA-A, HNRNPA2B1, HNRNPC, HRAS, IL33, IL6, IL6R, JUN, KRAS, LSM14A, LSM8, MAPK3, MRAS, MTOR, NFAT5, NFATC1, NFATC2, NRAS, PIK3CB, PIK3R1, PIK3R3, PRPF18, PRPF19, PRPF38A, PRPF4B, PRPF6, RALA, RRAS, SART1, SF3B4, SNRNP27, SNRNP48, SNRPD1, SNRPD3, SNRPN, TNFRSF13C, TXNL4A, ZCRB1, ZMAT5		no direction
April Mediated Signaling	1.01	-2.357	0.6	IKBKB, IKBKG, JUN, MAP2K7, MAP3K1, MAPK12, MAPK14, MAPK8, NFAT5, NFATC1, NFATC2, NFKB1, NFKBIA, NFKBIB, RELA, TRAF2, TRAF3, TRAF6		negative
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	1.01	1.291	0.6	AKT1, AKT2, AKT3, CCL5, CRK, GNAI2, IRF3, KPNA3, MAP2K1, MAPK3, NFKB1, NFKBIA, NFKBIB, PIK3CB, PIK3R1, PIK3R3, PLAC8, RELA		positive
Endocannabinoid Developing Neuron Pathway	1.01	-0.822	0.545	ADCY5, ADCY8, AKT1, AKT1S1, AKT2, AKT3, ATF4, CCND1, CNR1, CREB3L2, CTNNB1, GNAI2, GNAL, GNB1, GNB2, GNG2, HRAS, KRAS, MAP2K1, MAP2K3, MAP2K6, MAP2K7, MAPK12, MAPK14, MAPK3, MAPK7, MAPK8, MGLL, MRAS, MTOR, NRAS, PIK3CB, PIK3R1, PIK3R3, PRKACA, PRKAR1A, PRKAR2B, RALA, RHOA, RPTOR, RRAS, STAT3		negative
IGF-1 Signaling	1.01	-1.257	0.545	AKT1, AKT2, AKT3, CCN1, CCN2, FOXO1, HRAS, IGFBP2, IGFBP4, IGFBP5, IGFBP6, IGFBP7, IRS1, IRS2, JUN, KRAS, MAP2K1, MAPK3, MAPK8, MRAS, NRAS, PDPK1, PIK3CB, PIK3R1, PIK3R3, PRKACA, PRKAR1A, PRKAR2B, PRKCI, PTK2, PTPN11, RALA, RASA1, RRAS, SOCS2, SOCS3, SOCS7, SRF, STAT3, YWHAB, YWHAG, YWHAZ		negative
PPAR Signaling	1.01	-0.48	0.548	HRAS, HSP90AA1, IKBKB, IKBKG, IL1R1, IL1RAP, IL33, INSR, JUN, KRAS, MAP2K1, MAPK3, MED1, MRAS, NCOA1, NFKB1, NFKBIA, NFKBIB, NGFR, NR1H3, NR2F1, NRAS, PDGFA, PDGFB, PDGFC, PDGFRA, PPARA, PPARD, PPARG, PPARGC1A, PTGS2, RALA, RELA, RRAS, SNW1, SRA1, TNFRSF11B, TNFRSF1B, TRAF2, TRAF6		negative
2-ketoglutarate Dehydrogenase Complex	0.996	0	1	DLD, DLST, OGDH		no direction
Citrulline Biosynthesis	0.996	0	1	GLS, LOC102724788/PRODH, OAT		no direction
Heme Biosynthesis from Uroporphyrinogen-III I	0.996	0	1	CPOX, FECH, UROD		no direction
Melatonin Degradation II	0.996	0	1	MAOA, MAOB, SMOX		no direction
Oxidized GTP and dGTP Detoxification	0.996	0	1	DDX6, DXO, RUVBL2		no direction
Phosphatidylcholine Biosynthesis I	0.996	0	1	CHKA, PCYT1A, PHKA1		no direction
Protein Kinase A Signaling	0.983	0	0.509	ADCY5, ADCY8, ADD1, ADD2, ADD3, AKAP1, AKAP11, AKAP13, AKAP6, ANAPC13, ANAPC2, ANAPC5, ATF4, Calm1 (includes others), CAMK2D, CAMK2G, CDC14B, CDC16, CDC23, CDC25A, CHP1, CREB3L2, CREM, CTNNB1, DUSP1, DUSP10, DUSP16, DUSP18, DUSP2, DUSP6, DUSP8, EPM2A, FLNA, FLNB, FLNC, GLI3, GNA13, GNAI2, GNB1, GNB2, GNG2, GYS1, H1-0, H1-2, H3-3A/H3-3B, ITPR2, LIPE, MAP2K1, MAP3K1, MAPK3, MYH2, MYH4, MYL1, MYL4, MYL9, MYLK, MYLK3, MYLPF, NFAT5, NFATC1, NFATC2, NFKB1, NFKBIA, NFKBIB, NGFR, PDE1C, PDE7A, PDE7B, PDE8A, PDIA3, PHKA2, PHKB, PHKG1, PLCD4, PPP1R14C, PPP1R3A, PPP1R7, PPP2CA, PPP3CA, PPP3CB, PPP3R1, PRKACA, PRKAR1A, PRKAR2B, PRKCE, PRKCI, PRKCQ, PTGS2, PTK2, PTPN11, PTPN12, PTPN14, PTPN21, PTPRB, PTPRE, PYGM, RELA, RHOA, ROCK1, RYR1, RYR3, SIRPA, SMAD3, SMAD4, TGFB1, TGFB2, TGFB3, TGFBR2, TNNI1, TNNI2, TNNI3, TNS2, TTN, UBASH3B, YWHAB, YWHAG, YWHAZ		no direction
Phenylalanine Degradation IV (Mammalian, via Side Chain)	0.983	-1.633	0.75	AASDH, ALDH3A2, GOT2, MAOA, MAOB, SMOX		negative
Putrescine Degradation III	0.983	0	0.75	ALDH1A1, ALDH3A2, Aldh3b2, MAOA, MAOB, SMOX		no direction
Endoplasmic Reticulum Stress Pathway	0.982	0	0.647	ATF4, ATF6, CALR, CASP3, DDIT3, MAP3K5, MAPK8, MBTPS1, TAOK3, TRAF2, XBP1		no direction
Th17 Activation Pathway	0.968	1.342	0.579	CD3G, HSP90AA1, IL12RB2, IL17F, IL1R1, IL6, IL6R, IRAK1, IRAK2, MTOR, MYD88, NFAT5, NFATC1, NFATC2, NFKB1, PTGER4, RELA, RORA, RUNX1, SOCS3, STAT3, TRAF6		positive
Macropinocytosis Signaling	0.961	-0.258	0.575	ABI1, ACTN4, CD14, HRAS, ITGB1, KRAS, MET, MRAS, MRC1, NRAS, PDGFA, PDGFB, PDGFC, PIK3CB, PIK3R1, PIK3R3, PRKCE, PRKCI, PRKCQ, RAB34, RALA, RHOA, RRAS		negative
Thrombin Signaling	0.952	-0.577	0.525	ADCY5, ADCY8, AKT1, AKT2, AKT3, ARHGEF1, ARHGEF10L, ARHGEF12, ARHGEF17, ARHGEF9, CAMK2D, CAMK2G, EGFR, F2, F2R, FNBP1, GNA13, GNAI2, GNAL, GNB1, GNB2, GNG2, HRAS, IKBKB, ITPR2, KRAS, MAP2K1, MAPK12, MAPK14, MAPK3, MPRIP, MRAS, MYL1, MYL4, MYL9, MYLK, MYLPF, NFKB1, NRAS, PDIA3, PDPK1, PIK3CB, PIK3R1, PIK3R3, PLCD4, PRKCE, PRKCI, PRKCQ, PTK2, RALA, RELA, RHOA, RHOB, RHOC, RHOJ, RHOQ, RHOT1, RHOT2, RHOU, RND1, ROCK1, RRAS		negative
IL-13 Signaling Pathway	0.935	0.186	0.558	AKT1, AKT2, AKT3, CTNNB1, DUSP1, IL17RA, IL17RC, IL33, IL4R, JUN, MAOA, MAPK12, MAPK14, MAPK3, MTOR, PDGFA, PIK3CB, PIK3R1, PIK3R3, RHOA, ROCK1, SOCS3, STAT3, STAT6, TGFB1, TGFB2, TGFB3, TP53, TRAF6		positive
Tumor Microenvironment Pathway	0.932	0.429	0.532	AKT1, AKT2, AKT3, CCND1, CD274, CD44, COL1A2, COL3A1, FAS, FGF1, FGF12, FGF13, FGF16, FGF18, FGF2, FGF6, FOXO1, FOXO4, HLA-A, HRAS, IL6, IL6R, JUN, KRAS, MAP2K1, MAPK3, MMP14, MRAS, NFKB1, NRAS, PDGFA, PDGFB, PDGFC, PIK3CB, PIK3R1, PIK3R3, PTGS2, RALA, RELA, RRAS, SLC16A1, SLC2A1, SLC2A4, SPP1, STAT3, TGFB1, TGFB2, TGFB3, TNC, VEGFD		positive
PTEN Signaling	0.93	1.265	0.533	AKT1, AKT2, AKT3, BCAR1, BCL2L11, BMPR1B, BMPR2, CASP3, CCND1, CDKN1A, CNKSR3, EGFR, FGFR2, FOXO1, FOXO4, GHR, HRAS, IKBKB, IKBKG, INPP5K, INPPL1, INSR, ITGA10, ITGA11, ITGA3, ITGA6, ITGA7, ITGAV, ITGB1, KRAS, MAP2K1, MAPK3, MAST2, MRAS, NFKB1, NGFR, NRAS, PDGFRA, PDPK1, PIK3CB, PIK3R1, PIK3R3, PTK2, RALA, RELA, RRAS, SIRT6, TGFBR2		positive
LPS-stimulated MAPK Signaling	0.93	0.186	0.554	CD14, HRAS, IKBKB, IKBKG, JUN, KRAS, LBP, MAP2K1, MAP2K3, MAP2K6, MAP3K5, MAPK12, MAPK14, MAPK3, MAPK8, MRAS, NFKB1, NFKBIA, NFKBIB, NRAS, PIK3CB, PIK3R1, PIK3R3, PRKCE, PRKCI, PRKCQ, RALA, RELA, RRAS, SRF, TLR4		positive
Apelin Endothelial Signaling Pathway	0.927	0.156	0.535	ADCY5, ADCY8, AKT1, AKT2, AKT3, APLN, Calm1 (includes others), GNA13, GNAI2, GNAL, GNB1, GNB2, GNG2, HDAC4, HDAC5, HRAS, JUN, KLF2, KRAS, MAP2K1, MAPK12, MAPK3, MAPK8, MEF2A, MEF2C, MEF2D, MRAS, MTOR, NFKB1, NRAS, PIK3CB, PIK3R1, PIK3R3, PRKAA1, PRKAB1, PRKAB2, PRKAG3, PRKCE, PRKCI, PRKCQ, RALA, RELA, RRAS, SMAD3, TEK, VCAM1		positive
Glioblastoma Multiforme Signaling	0.927	-0.469	0.535	AKT1, AKT2, AKT3, CCND1, CCND3, CCNE2, CDKN1A, CTNNB1, E2F6, EGFR, FNBP1, FOXO1, FZD7, HRAS, ITPR2, KRAS, MAP2K1, MAPK3, MRAS, MTOR, NF1, NRAS, PDGFA, PDGFB, PDGFC, PDGFRA, PDIA3, PIK3CB, PIK3R1, PIK3R3, PLCD4, RALA, RHOA, RHOB, RHOC, RHOJ, RHOQ, RHOT1, RHOT2, RHOU, RND1, RRAS, TP53, TSC1, TSC2, WNT9A		negative
T Cell Exhaustion Signaling Pathway	0.927	0	0.535	ACVR1, ACVR2A, AKT1, AKT2, AKT3, BMPR2, CD274, CD3G, CD80, EOMES, FOXO1, HLA-A, HRAS, IFNAR2, IL12RB2, IL6, IL6R, JUN, KRAS, MAPK12, MAPK3, MAPK8, MRAS, MTOR, NFAT5, NFATC1, NFATC2, NRAS, PDK1, PIK3CB, PIK3R1, PIK3R3, PPM1J, PPP2CA, PPP2R2B, PPP2R5B, PPP2R5D, PRDM1, PRKCQ, PTPN11, RALA, RRAS, SMAD3, STAT3, TGFB1, TGFBR2		no direction
NGF Signaling	0.924	-1.48	0.542	AKT1, AKT2, AKT3, ATF4, BAX, CREB3L2, CRK, HRAS, IKBKB, IKBKG, KRAS, MAP2K1, MAP3K1, MAP3K10, MAP3K2, MAP3K5, MAPK12, MAPK3, MAPK7, MAPK8, MRAS, NFKB1, NGFR, NRAS, PDPK1, PIK3CB, PIK3R1, PIK3R3, PTPN11, RALA, RELA, RHOA, ROCK1, RPS6KA2, RPS6KA5, RRAS, TP53, TRAF6, TRIO		negative
Pancreatic Adenocarcinoma Signaling	0.924	-0.2	0.541	AKT1, AKT2, AKT3, CCND1, CCNE2, CDKN1A, E2F6, EGFR, ERBB2, HDAC11, HDAC2, HDAC4, HDAC5, HDAC6, HDAC9, KRAS, MAP2K1, MAPK12, MAPK3, MAPK8, NFKB1, NOTCH1, PDGFC, PIK3CB, PIK3R1, PIK3R3, PTGS2, RALA, RBL2, RELA, SMAD3, SMAD4, STAT3, TGFA, TGFB1, TGFB2, TGFB3, TGFBR2, TP53, VEGFD		negative
AMPK Signaling	0.921	-1.155	0.517	ACACB, ACTB, ADRB2, AK2, AK3, AKT1, AKT1S1, AKT2, AKT3, ARID1A, ARID2, ATF4, CAB39, CCND1, CDKN1A, CHRNB1, CHRNE, CKM, CPT1A, CREB3L2, EEF2, EIF4EBP1, EPM2A, FOXO1, FOXO4, GNA13, GNAI2, GNAL, GNB1, GNB2, GNG2, GYS1, INSR, IRS1, IRS2, LIPE, MAP2K3, MAPK12, MAPK14, MRAS, MTOR, PFKM, PIK3CB, PIK3R1, PIK3R3, PPARGC1A, PPM1A, PPM1B, PPM1F, PPM1G, PPM1J, PPP2CA, PPP2R2B, PPP2R5B, PPP2R5D, PRKAA1, PRKAB1, PRKAB2, PRKACA, PRKAG3, PRKAR1A, PRKAR2B, RAB1A, RAB6A, RPTOR, SLC2A1, SLC2A4, SMARCA2, SMARCB1, SMARCD2, SMARCD3, STIM1, STRADA, TSC1, TSC2, ULK1		negative
Role of NFAT in Cardiac Hypertrophy	0.903	-0.896	0.519	ADCY5, ADCY8, AKT1, AKT2, AKT3, CACNA1C, CACNA1H, CACNA1S, CACNB1, CACNB4, CACNG1, CACNG6, Calm1 (includes others), CAMK2D, CAMK2G, CHP1, CSNK1A1, CTF1, GNAI2, GNB1, GNB2, GNG2, HDAC11, HDAC2, HDAC4, HDAC5, HDAC6, HDAC9, HRAS, IL6, IL6ST, ITPR2, KRAS, MAP2K1, MAP2K3, MAP2K6, MAP2K7, MAP3K1, MAPK12, MAPK14, MAPK3, MAPK8, MEF2A, MEF2C, MEF2D, MRAS, NRAS, PDIA3, PIK3CB, PIK3R1, PIK3R3, PLCD4, PPP3CA, PPP3CB, PPP3R1, PRKACA, PRKAR1A, PRKAR2B, PRKCE, PRKCI, PRKCQ, RALA, RCAN1, RRAS, SLC8A3, TGFB1, TGFB2, TGFB3, TGFBR2		negative
LPS/IL-1 Mediated Inhibition of RXR Function	0.888	-1.461	0.521	ABCA1, ABCB1, ABCC3, ABCC4, ABCG1, ACOX1, ACSL1, ACSL3, ACSL5, ACSL6, ALDH1A1, ALDH1L1, ALDH3A2, APOE, CD14, CHST10, CHST3, CPT1A, CRAT, CYP2U1, FMO1, GSTM1, GSTM3, GSTM5, GSTO1, HS2ST1, HS3ST3A1, HS3ST5, HS6ST1, IL1R1, IL1RAP, IL33, IRAK1, JUN, LBP, MAOA, MAOB, MAP2K7, MAP3K1, MAPK8, MGST3, MYD88, NCOA1, NDST1, NDST4, NGFR, NR1H2, NR1H3, NR1H4, PLTP, PPARA, PPARGC1A, RARA, SLC27A1, SMOX, SOD3, SREBF1, TLR4, TNFRSF11B, TNFRSF1B, TRAF2, TRAF6, XPO1		negative
nNOS Signaling in Neurons	0.879	0	0.586	Calm1 (includes others), CAPN1, CAPN2, CAPN3, CAPN7, CAPNS1, CHP1, GRIN1, GRIN2A, GRINA, PFKM, PPP3CA, PPP3CB, PPP3R1, PRKCE, PRKCI, PRKCQ		no direction
Inhibition of Matrix Metalloproteases	0.872	0.816	0.667	ADAM10, LRP1, MMP14, SDC2, TFPI2, THBS2, TIMP2, TIMP3		positive
Maturity Onset Diabetes of Young (MODY) Signaling	0.871	0	0.581	ABCC8, ABCC9, ALDOB, APOE, APOL6, CACNA1C, CACNA1S, CACNB1, CACNB4, CACNG1, CACNG6, CEL, GAPDH, INSR, KLF11, NFKB1, OGDH, UCP2		no direction
Endometrial Cancer Signaling	0.858	-0.943	0.571	AKT1, AKT2, AKT3, CCND1, CTNNA1, CTNNB1, ERBB2, HRAS, KRAS, MAP2K1, MAPK3, MRAS, NRAS, PDPK1, PIK3CB, PIK3R1, PIK3R3, RALA, RRAS, TP53		negative
Insulin Receptor Signaling	0.853	0	0.528	AKT1, AKT2, AKT3, CRK, EIF2B2, EIF2B4, EIF4EBP1, EPM2A, FOXO1, FOXO4, GYS1, HRAS, INPP5K, INPPL1, INSR, IRS1, IRS2, KRAS, LIPE, MAP2K1, MAPK3, MAPK8, MRAS, MTOR, NRAS, PDPK1, PIK3CB, PIK3R1, PIK3R3, PPP1R14C, PPP1R3A, PPP1R7, PRKACA, PRKAR1A, PRKAR2B, PRKCI, PTPN11, RALA, RAPGEF1, RHOQ, RPTOR, RRAS, SLC2A4, SOCS3, TRIP10, TSC1, TSC2		no direction
EGF Signaling	0.853	-0.218	0.568	AKT1, AKT2, AKT3, EGFR, HRAS, ITPR2, JUN, MAP2K1, MAP2K7, MAP3K1, MAPK12, MAPK14, MAPK3, MAPK8, MTOR, PIK3CB, PIK3R1, PIK3R3, RASA1, SRF, STAT3		negative
PKCθ Signaling in T Lymphocytes	0.848	-0.667	0.53	BCL10, CACNA1C, CACNA1H, CACNA1S, CACNB1, CACNB4, CACNG1, CACNG6, CAMK2D, CAMK2G, CD3G, CD80, CHP1, HLA-A, HRAS, IKBKB, IKBKG, ITPR2, JUN, KRAS, MAP3K1, MAP3K10, MAP3K2, MAP3K5, MAPK3, MAPK8, MRAS, NFAT5, NFATC1, NFATC2, NFKB1, NFKBIA, NFKBIB, NRAS, PIK3CB, PIK3R1, PIK3R3, PPP3CA, PPP3CB, PPP3R1, PRKCQ, RALA, RELA, RRAS		negative
GADD45 Signaling	0.843	-2.041	0.558	ACVR1, ACVR2A, CCND1, CCND3, CCNE2, CDKN1A, GADD45A, GADD45G, MAP2K3, MAP2K6, MAP2K7, MAPK12, MAPK14, MAPK8, NFKB1, PCNA, RELA, SMAD3, SMAD4, TGFB1, TGFB2, TGFB3, TGFBR2, TP53		negative
Apoptosis Signaling	0.84	0	0.535	APAF1, BAK1, BAX, BCL2L11, CAPN1, CAPN2, CAPN3, CAPN7, CAPNS1, CASP2, CASP3, DFFA, FAS, HRAS, IKBKB, IKBKG, KRAS, LMNA, MAP2K1, MAP2K7, MAP3K5, MAPK3, MAPK8, MCL1, MRAS, NFKB1, NFKBIA, NFKBIB, NRAS, PRKCE, PRKCQ, RALA, RELA, ROCK1, RRAS, SPTAN1, TNFRSF1B, TP53		no direction
